Child	Parent
08fallcomjo525_a1	08fallcomjo525_a1
08fallcomjo525_g1	08fallcomjo525_a1
08fallcgsrh101_e5	08fallcgsrh101_e5
08fallcgsrh101_e6	08fallcgsrh101_e5
08fallcgsrh101_e7	08fallcgsrh101_e5
08fallcgsrh101_e8	08fallcgsrh101_e5
08fallcgsrh101_b1	08fallcgsrh101_b1
08fallcgsrh101_b2	08fallcgsrh101_b1
08fallcgsns201_s1	08fallcgsns201_s1
08fallcgsns201_s2	08fallcgsns201_s1
08fallcgsns201_s3	08fallcgsns201_s1
08fallcgsns201_s4	08fallcgsns201_s1
08fallcgsrh101_f5	08fallcgsrh101_f5
08fallcgsrh101_f6	08fallcgsrh101_f5
08fallcgsrh101_f7	08fallcgsrh101_f5
08fallcgsrh101_f8	08fallcgsrh101_f5
08fallcgshu101_e2	08fallcgshu101_e2
08fallcgshu101_e3	08fallcgshu101_e2
08fallcgshu101_e4	08fallcgshu101_e2
08fallcaswr100_eb	08fallcaswr100_eb
08fallcaswr100_fd	08fallcaswr100_eb
08fallengek131_e4	08fallengek131_e4
08fallengek132_e4	08fallengek131_e4
09sprgsedpe580_a1	09sprgsedpe580_a1
09sprgsedpe581_a1	09sprgsedpe580_a1
09sprgsedpe582_a1	09sprgsedpe580_a1
09sprgsedpe583_a1	09sprgsedpe580_a1
09sprgcgsrh102_e1	09sprgcgsrh102_e1
09sprgcgsrh102_e2	09sprgcgsrh102_e1
09sprgcgsrh102_e3	09sprgcgsrh102_e1
09sprgcgsrh102_e4	09sprgcgsrh102_e1
09sprgsarpt565_a1	09sprgsarpt565_a1
09sprgsarpt565_a2	09sprgsarpt565_a1
09sprgcgshu102_d1	09sprgcgshu102_d1
09sprgcgshu102_d2	09sprgcgshu102_d1
09sprgcgshu102_d3	09sprgcgshu102_d1
09sprgcgshu102_d4	09sprgcgshu102_d1
09sprgcascl102_a1	09sprgcascl102_a1
09sprgcascl102_a2	09sprgcascl102_a1
09sprgcascl102_a3	09sprgcascl102_a1
09sprgcascl102_a4	09sprgcascl102_a1
09sprgcascl102_a5	09sprgcascl102_a1
09sprgcgsss102_b1	09sprgcgsss102_b1
09sprgcgsss102_b2	09sprgcgsss102_b1
09sprgcgsss102_b3	09sprgcgsss102_b1
09sprgcgsss102_b4	09sprgcgsss102_b1
09sprgcasar343_a1	09sprgcasar343_a1
09sprggrsar743_a1	09sprgcasar343_a1
09sprgcfamu222_a1	09sprgcfamu222_a1
09sprgcfamu224_a1	09sprgcfamu222_a1
09sprgsedlr501_a1	09sprgsedlr501_a1
09sprggrshi757_a1	09sprggrshi757_a1
09sprggrsen746_a1	09sprggrshi757_a1
09sprgcaswr150_d1	09sprgcaswr150_d1
09sprgcaswr150_e2	09sprgcaswr150_d1
09sprgcaswr150_c2	09sprgcaswr150_c2
09sprgcaswr150_d5	09sprgcaswr150_c2
09sprgcaswr100_l2	09sprgcaswr100_l2
09sprgcaswr150_kd	09sprgcaswr150_kd
09sprgcaswr150_kd	09sprgcaswr150_l2
09sprgshahf280_a1	09sprgshahf280_a1
09sprgshahf280_a2	09sprgshahf280_a1
09sprgcfadr212_c1	09sprgcfadr212_c1
09sprgcfadr212_a1	09sprgcfadr212_c1
09sprgcfadr212_b1	09sprgcfadr212_c1
09sprgcaswr150_b6	09sprgcaswr150_b6
